Parole,Genre,Titre + artiste
"184 ContributorsTranslationsEspañolFrançaisPortuguêsFreedom Lyrics
Tryna rain, tryna rain on the thunder
Tell the storm I'm new
I'ma walk, I'ma march on the regular
Painting white flags blue
Lord, forgive me, I've been running
Running blind in truth
I'ma rain, I'ma rain on this bitter love
Tell the sweet I'm new
I'm telling these tears, ""Go and fall away, fall away,"" oh
May the last one burn into flames
Freedom, freedom, I can't move
Freedom, cut me loose, yeah
Freedom, freedom, where are you?
'Cause I need freedom, too
I break chains all by myself
Won't let my freedom rot in hell
Hey, I'ma keep running
'Cause a winner don't quit on themselves
I'ma wade, I'ma wave through the waters
Tell the tide, ""Don't move""
I'ma riot, I'ma riot through your borders
Call me bulletproof
Lord, forgive me, I've been runnin'
Runnin' blind in truth
I'ma wade, I'ma wave through your shallow love
Tell the deep I'm new
I'm telling these tears, ""Go and fall away, fall away,"" oh
May the last one burn into flames
Freedom, freedom, I can't move
Freedom, cut me loose
Freedom, freedom, where are you?
'Cause I need freedom, too
I break chains all by myself
Won't let my freedom rot in hell
Hey, I'ma keep running
'Cause a winner don't quit on themselves
Ten Hail Marys, I meditate for practice
Channel 9 news tell me I'm movin' backwards
Eight blocks left, death is around the corner
Seven misleadin' statements 'bout my persona
Six headlights wavin' in my direction (Come on)
Five-O askin' me what's in my possession
Yeah, I keep runnin', jump in the aqueducts
Fire hydrants and hazardous
Smoke alarms on the back of us
But mama, don't cry for me, ride for me
Try for me, live for me
Breathe for me, sing for me
Honestly guidin' me
I could be more than I gotta be
Stole from me, lied to me, nation hypocrisy
Code on me, drive on me
Wicked, my spirit inspired me, like yeah
Open correctional gates in higher desert (Yeah)
Open our mind as we cast away oppression (Yeah)
Open the streets and watch our beliefs
And when they carve my name inside the concrete
I pray it forever reads
Freedom, freedom, I can't move
Freedom, cut me loose
Freedom, freedom, where are you?
'Cause I need freedom, too
I break chains all by myself
Won't let my freedom rot in hell
Hey, I'ma keep running
'Cause a winner don't quit on themselves
What you want from me?
Is it truth you seek? Oh, father, can you hear me?
What you want from me?
Is it truth you seek? Oh, father, can you hear me?
Hear me out
I had my ups and downs
But I always find the inner strength to pull myself up
I was served lemons, but I made lemonade",pop,Beyoncé_Freedom.txt
"166 ContributorsTranslationsTürkçePolskiPortuguêsFrançaisDeutschČeskyPolskiРусскийItalianoLet Me Love You LyricsAriana described “Let Me Love You,” the second promotional single from 2016’s Dangerous Woman, as a slower, sexier, darker song. She stated it’s one of her favorite songs on the album. This is her first time… Read More
I just broke up with my ex
Now I'm out here single, I don't really know what's next
But I ain't even trippin', I'ma chill and sit back
And I know they will be comin' from the right and the left
Left, left
I just broke up with my ex and
You're the one I'm feeling as I'm laying on your chest
Good conversation got me holding my breath
And I don't normally say this but goddamn, you the best
Best, best
And if it feels right, promise I don't mind (Ah)
And if it feels right, promise I'll stay here all night
Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you
As I'm laying on your chest
I'll be out here thinkin' 'bout it, boy, it's just a guess
But something just keeps telling me I'm better than the rest
And I ain't tryna rush you, but, goddamn, I'm a mess, mess, mess
And if it feels right, promise I don't mind (Ah)
And if it feels right, promise I'll stay here all night
Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you
Just let me lo-o-o-o-o-o-o-love you, you
I say, ""Girl, you need a hot boy""
She say, ""You need to stop **** with them thots, boy""
I say ""You need a real ****,"" she say, ""Yes, Lord""
And what you need your ex for? I'm triple X, Lord
Okay, Ariana my lil mama, goodbye to the good girl
My ex tripping, it's no Biggie, I 2Pac shook her
I'm laid up with my new thing
She lay her head on my new chain
Then the mood change, then my name change
From Lil Wayne to ""Ooh, Wayne,"" oh, Lord
She grinding on this Grande, oh, Lord
I'm drowning, I'm gon' need that Coast Guard
And when it comes to that ****, I give her amnesia
She just looking for love, she say she single and I'm her feature
Oh, my God
(You're no good, boy, just let me love you, baby)
Just let me lo-o-o-o-o-o-o-love you, you
Tunechi, Mula, baby
Just let me lo-o-o-o-o-o-o-love you, you
(Boy, just let me love you, yeah, yeah, ah)
Just let me lo-o-o-o-o-o-o-love you, you
She just looking for love (I'm looking for love)
Just let me lo-o-o-o-o-o-o-love you, you
She just looking for love, yeah (Yeah, I'm looking for love, baby)
Just let me lo-o-o-o-o-o-o-love you, you
She just looking for love, yeah (I'm looking for love, baby)
Just let me lo-o-o-o-o-o-o-love you, you
She just looking for love, yeah (Hey, yeah, yeah, yeah)
She's just looking for love (Mm, yeah)
I'ma give her that love, yeah
He gon' gimme that love
She's just looking for love, oh
Boy, I'm looking for love, baby
I'ma give her that love
I'ma give her that
I'ma give her that",pop,Ariana Grande_Let_Me_Love_You.txt
"80 ContributorsTranslationsTürkçeListen Lyrics
Listen to the song here in my heart
A melody I start, but can't complete
Listen to the sound from deep within
It's only beginning to find release
Oh, the time has come for my dreams to be heard
They will not be pushed aside and turned
Into your own, all 'cause you won't listen
Listen, I am alone at a crossroads
I'm not at home in my own home
And I've tried and tried to say what's on my mind
You should have known, oh
Now I'm done believin' you
You don't know what I'm feelin'
I'm more than what you made of me
I followed the voice you gave to me
But now I've gotta find my own
You should have listened
There was someone here inside
Someone I thought had died
So long ago
Oh, I'm screamin' out and my dreams will be heard
They will not be pushed aside or worked
Into your own, all 'cause you won't listen
Listen, I am alone at a crossroads
I'm not at home in my own home
And I've tried and tried to say what's on my mind
You should have known, oh
Now I'm done believin' you
You don't know what I'm feelin'
I'm more than what you made of me
I followed the voice you gave to me
But now I've gotta find my own
I don't know where I belong
But I'll be movin' on
If you don't
If you won't
Listen to the song here in my heart
A melody I start, but I will complete, oh-oh
Now I'm done believin' you
You don't know what I'm feelin'
I'm more than what you made of me
I followed the voice you think you gave to me
But now I've gotta find my own
My own",pop,Beyoncé_Listen.txt
"144 ContributorsTranslationsPortuguêsFrançaisTürkçeEspañolالعربيةDeutschGrenade Lyrics“Grenade” is the second single from Bruno Mars' debut album Doo-Wops & Hooligans.
In an interview with Idolator, Bruno explained the backstory of how the song was created and what it meant for him to sing… Read More
Easy come, easy go, that's just how you live
Oh, take, take, take it all but you never give
Should've known you was trouble from the first kiss
Had your eyes wide open, why were they open?
Gave you all I had, and you tossed it in the trash
You tossed it in the trash, you did
To give me all your love is all I ever asked
'Cause what you don't understand is
I'd catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah), oh, oh
I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for you, baby
But you won't do the same
No, no, no, no
Uh
Black, black, black and blue, beat me 'til I'm numb
Tell the devil I said ""hey"" when you get back to where you're from
Mad woman, bad woman, that's just what you are
Yeah, you'll smile in my face, then rip the brakes out my car
Gave you all I had, and you tossed it in the trash
You tossed it in the trash, yes, you did
To give me all your love is all I ever asked
'Cause what you don't understand is
I'd catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah), oh, oh
I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for you, baby
But you won't do the same
If my body was on fire
Ooh, you'd watch me burn down in flames
You said you loved me, you're a liar
'Cause you never, ever, ever did, baby
(Uh) But darlin', I'd still catch a grenade for ya (Yeah, yeah, yeah)
Throw my hand on a blade for ya (Yeah, yeah, yeah)
I'd jump in front of a train for ya (Yeah, yeah, yeah)
You know I'd do anything for ya (Yeah, yeah, yeah), oh, oh
I would go through all this pain
Take a bullet straight through my brain
Yes, I would die for you, baby
But you won't do the same
No, you won't do the same
You wouldn't do the same
Ooh, you'd never do the same
No, no, no, no",pop,Bruno Mars_Grenade.txt
"127 ContributorsTranslationsPortuguêsΕλληνικάFrançaisالعربيةBahasa IndonesiaDeutschРусскийDiamonds Lyrics
Shine bright like a diamond
Shine bright like a diamond
Find light in the beautiful sea
I choose to be happy
You and I, you and I
We're like diamonds in the sky
You're a shooting star I see
A vision of ecstasy
When you hold me, I'm alive
We're like diamonds in the sky
I knew that we'd become one right away
Oh, right away
At first sight, I felt the energy of sun rays
I saw the life inside your eyes
So shine bright, tonight, you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful like diamonds in the sky
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful like diamonds in the sky
Palms rise to the universe
As we moonshine and Molly
Feel the warmth, we'll never die
We're like diamonds in the sky
You're a shooting star I see
A vision of ecstasy
When you hold me, I'm alive
We're like diamonds in the sky
At first sight, I felt the energy of sun rays
I saw the life inside your eyes
So shine bright, tonight, you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful like diamonds in the sky
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shinin' bright like a diamond
We're beautiful like diamonds in the sky
Shine bright like a diamond
Shine bright like a diamond
Shine bright like a diamond
So shine bright, tonight, you and I
We're beautiful like diamonds in the sky
Eye to eye, so alive
We're beautiful like diamonds in the sky
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shine bright like a diamond
Oh, yeah
Shine bright like a diamond (Woah)
Shine bright like a diamond (Woah)
Shine bright like a diamond
Shine bright like a diamond",pop,Rihanna_Diamonds.txt
"105 ContributorsTranslationsFrançaisLoveeeeeee Song Lyrics
Ain't nothin' wrong with it
I don't wanna give you the wrong impression (No, no, no, no)
I need love and affection (Yeah, yeah, yeah)
And I hope I'm not soundin' too desperate
I need love and affection
Love (Oh, oh, oh, oh), love (Oh, oh, oh, oh), love (Oh, oh, oh, oh)
Love and affection
Love (Oh, oh, oh, oh), love (Oh, oh, oh, oh)
L-O-V-E-E-E and affection
Oh, baby, I'm not asking for the world, maybe
You can give me what I want, baby
Come hold me tight and, when I'm drowning, save me
Give it to me on a daily
If I'm your girl, say my name, boy
And let me know I'm in control
We both grown so how we feel we can let it show
(I-I-I) Won't play around
(I-I-I) I wanna lay you down
(I-I-I) I need you now, I need you now
Oh-oh-oh-oh-oh, oh-oh
I don't wanna give you the wrong impression (No, no, no, no)
I need love and affection (Yeah, yeah, yeah)
And I hope I'm not sounding too desperate
I need love and affection
Love (Oh, oh, oh, oh), love (Oh, oh, oh, oh), love (Oh, oh, oh, oh)
Love and affection
Love (Oh, oh, oh, oh), love (Oh, oh, oh, oh)
L-O-V-E-E-E and affection
Boy, lately you've been stingy with your time
Got me wonderin, I'm wondering if I'm on your mind
Boy, I just wanna be in your possession
Saying I'm the one you want, so come express it
Don't slip, don't slip, 'cause a nigga might push up on it
Don't really wanna lose this moment
Why window shop when you own this?
(I-I-I) Don't put it down
(I-I-I) Don't fuck around
(I-I-I) I want you now, I want you now
Oh-oh-oh-oh-oh, oh-oh
I don't wanna give you the wrong impression (No, no, no, no)
I need love and affection (Yeah, yeah, yeah)
And I hope I'm not sounding too desperate
I need love and affection
Love (Oh, oh, oh, oh), love (Oh, oh, oh, oh), love (Oh, oh, oh, oh)
Love and affection
Love (Oh, oh, oh, oh), love (Oh, oh, oh, oh)
L-O-V-E-E-E and affection
Can you love me for poor? (Let me know)
I'm searching for my soul (Rockstar)
Who ever turned you cold? (Because)
You need to let him know (Yeah, yeah)
I can work miracles
I'll work your physical (Physical) (Turned up)
And when I love you close
You can feel my heart beating through my clothes, ooh, oh
Future
I don't wanna give you the wrong impression (No, no, no, no)
I need love and affection (Yeah, yeah, yeah), love
And I hope I'm not sounding too desperate
I need love and affection
Love (Oh, oh, oh, oh), love (Oh, oh, oh, oh), love (Oh, oh, oh, oh)
Love and affection
Love (Oh, oh, oh, oh), love (Oh, oh, oh, oh)
L-O-V-E-E-E and affection",pop,Rihanna_Loveeeeeee_Song.txt
"296 ContributorsTranslationsTürkçeEspañolPortuguêsFrançaisDeutschItalianoČeskyPolskiРусскийSide To Side Lyrics“Side To Side” is a reggae-infused track about pursuing a love interest regardless of what your friends think, or how they feel.
The song was released as part of Ariana Grande’s Dangerous Woman 10-day… Read More
I've been here all night (Ariana)
I've been here all day (Nicki Minaj)
And, boy, got me walkin' side to side (Let them hoes know)
I'm talkin' to ya
See you standing over there with your body
Feeling like I wanna rock with your body
And we don't gotta think 'bout nothin' ('Bout nothin')
I'm comin' at ya
'Cause I know you got a bad reputation
Doesn't matter, 'cause you give me temptation
And we don't gotta think 'bout nothin' ('Bout nothin')
These friends keep talkin' way too much
Say I should give you up
Can't hear them, no, 'cause I—
I've been here all night
I've been here all day
And, boy, got me walkin' side to side
I've been here all night
I've been here all day
And, boy, got me walkin' side to side (Side to side)
Been tryna hide it
Baby, what's it gonna hurt if they don't know?
Makin' everybody think that we solo
Just as long as you know you got me (You got me)
And, boy, I got ya
'Cause tonight I'm making deals with the devil
And I know it's gonna get me in trouble
Just as long as you know you got me
These friends keep talkin' way too much
Say I should give you up
Can't hear them, no, 'cause I—
I've been here all night
I've been here all day
And, boy, got me walkin' side to side (Side to side)
I've been here all night (Been here all night, baby)
I've been here all day (Been here all day, baby, yeah)
And, boy, got me walkin' side to side (Side to side, boy)
Uh, yo
This the new style with the fresh type of flow
Wrist icicle, ride dick bicycle
Come through, yo, get you this type of blow
If you wanna ménage, I got a tricycle
All these bitches' flows is my mini-me
Body smoking, so they call me Young Nicki Chimney
Rappers in they feelings 'cause they feelin' me (Murder)
Uh, I-I give zero fucks and I got zero chill in me
Kissing me, copped the blue box that say Tiffany
Curry with the shot, just tell 'em to call me Stephanie
Gun pop, then I make my gum pop
I'm the queen of rap, young Ariana run pop, uh
These friends keep talkin' way too much (Way too much)
Say I should give him up (Give him up)
Can't hear them, no, 'cause I—
I've been here all night (Been here all night, baby)
I've been here all day (Been here all night, baby, yeah)
And, boy (Boy), got me walkin' side to side (Side to side)
I've been here all night (Been here all night, babe)
I've been here all day (Been here all day, baby, yeah; Ooh, baby)
And, boy (No), got me walkin' side to side (Side to side)
(Yeah, yeah-yeah-yeah)
Uh, yo
This the new style with the fresh type of flow (Been here all night, baby)
Wrist icicle, ride dick bicycle (Been here all day, baby; Ayy)
Come through, yo, get you this type of blow (No)
If you want a ménage, I got a tricycle (Side to side, yeah)",pop,Ariana Grande_Side_To_Side.txt
"50 ContributorsPerm Lyrics“Perm” serves as the third song on Bruno Mars' third studio album 24K Magic. On this song, Bruno brings the old school party anthem back as he speaks to the women.
Perm is a chemical that women use on their… Read More
Now look at you, been walking in here looking all pretty and angry and mean and good
Now I know you didn't get your hair done so you could just sit down and just sit still
Aye, we tryna have a good time tonight, let's go, baby!
It's my birthday
(No, it's not)
But I still look good, though
(Hot comb hot)
Ow, I bet you want an autograph
(For you and your friends)
Gotta do it in the penthouse
That's where I keep my pen
What, you can't dance? Ain't got rhythm?
What, you got a man? I don't see you with him
Put your phone down, let's get it
Forget your Instagram and your Twitter
Got me like woah, wait a minute
You need to take a minute
Loosen them shoulders up
Pour it up, let's work
Throw some perm on your attitude
Girl, you gotta relax, ooh, uh
Let me show you what you got to do
You gotta lay it back
Matter of fact? Band, show her how to lay it back, uh!
Show her how to lay it back, uh
Show her how to lay it back, aow
Show her how to lay it back
Alright!
Come on, baby, I love you
(No, you don't)
You never know, I might though
Can't say I won't, ah
There's that smile I'm looking for
(Was that so hard?)
Ooh, if you ever need to smile again girl, take my card
Razzle-dazzle, never gon' stop
What you want is what I got
You wanna get down? You gotta get up
Don't be stingy with your big ol' butt
You got a booty like
Woah, wait a minute
I'm just playin' with you
Loosen them shoulders up
Pour it up, let's work
Throw some perm on your attitude
Girl, you gotta relax, ooh, uh
Let me show you what you got to do
You gotta lay it back
Matter of fact? Band, show her how to lay it back, uh!
Show her how to lay it back, uh
Show her how to lay it back, aow
Show her how to lay it back
Alright!
Aye, now you got it, baby! You tryna have some fun tonight, you just gotta follow these simple instructions, you ready?
You need to activate your sexy (Activate your sexy)
Silky, smooth and snap (Silky, smooth and snap)
Now lean with it (lean), throw a lil' Sheen in it (Sheen)
Then pat, pat, pat 'til it's flat
One more time
You need to activate your sexy (Activate your sexy)
Silky, smooth and snap (Silky, smooth and snap)
Uh, now lean with it (lean), throw a lil' Sheen in it (Sheen)
Then pat, pat, pat 'til it's flat
I'll sing it again
Throw some perm on your attitude
Girl, you gotta relax, ooh, ooh
Let me show you what you got to do
You gotta lay it back
Matter of fact? Band, show her how to lay it back, uh!
Show her how to lay it back
Show her how to lay it back
Show her how to lay it back
Alright!",pop,Bruno Mars_Perm.txt
"342 ContributorsTranslationsEspañolDeutschFrançaisEnglishWork Lyrics
Work, work, work, work, work, work
He said me haffi work, work, work, work, work, work
He see me do mi dirt, dirt, dirt, dirt, dirt, dirt
Ah so me put in work, work, work, work, work, work
When you ah guh learn, learn, learn, learn, learn, learn?
Me nuh cyar if him hurt, hurt, hurt, hurt, hurting
Dry, me ah desert him
Nuh time to have you lurking
Him ah go act like he nuh like it
You know I dealt with you the nicest
Nuh body touch me, you nuh righteous
Nuh badda, text me in a crisis
I believed all of your dreams, adoration
You took my heart and my keys and my patience
You took my heart on my sleeve for decoration
You mistaken my love I brought for you for foundation
All that I wanted from you was to give me
Something that I never had
Something that you've never seen
Something that you've never been, mm
But I wake up and act like nothing's wrong
Just get ready fi work, work, work, work, work, work
He said me haffi work, work, work, work, work, work
He see me do mi dirt, dirt, dirt, dirt, dirt, dirt
Ah so me put in work, work, work, work, work, work
Ner, ner, ner, ner, ner, ner
When you ah guh learn, learn, learn, learn, learn, learn?
Before the tables turn, turn, turn, turn, turn, turn
Beg you something, please
Baby, don't you leave
Don't leave me stuck here in the streets, uh-huh
If I get another chance to
I will never, no, never neglect you
I mean, who am I to hold your past against you?
I just hope that it gets to you
I hope that you see this through
I hope that you see this true
What can I say?
Please recognize I'm tryin', babe
I haffi work, work, work, work, work, work
He said me haffi work, work, work, work, work, work
He see me do mi dirt, dirt, dirt, dirt, dirt, dirt
So me put in work, work, work, work, work, work
When you ah guh learn, learn, learn, learn, learn, learn?
Me nuh cyar if him hurt, hurt, hurt, hurt, hurting (Yeah, okay)
You need to get done, done, done, done at work, come over
We just need to slow the motion
Don't give that away to no one
Long distance, I need you (Ah)
When I see potential, I just gotta see it through
If you had a twin, I would still choose you
I don't wanna rush into it if it's too soon
But I know you need to get done, done, done, done
If you come over
Sorry if I'm way less friendly
I got niggas tryna end me, oh (Yeah)
I spilled all my emotions tonight, I'm sorry
Rollin', rollin', rollin', rollin', rollin'
How many more shots until you're rollin'?
We just need a face-to-face
You could pick the time and the place
You spent some time away
Now you need to forward
And give me all the work, work, work, work, work, work
He said me haffi work, work, work, work, work, work
He see me do mi dirt, dirt, dirt, dirt, dirt, dirt
So me put in work, work, work, work, work, work
When you ah guh learn, learn, learn, learn, learn, learn?
Me nuh cyar if him hurt, hurt, hurt, hurt, hurting
Mm
Mm
Work, work, work, work, work, work
Mm",pop,Rihanna_Work.txt
"64 ContributorsTranslationsPortuguêsMarry You LyricsPhilip Lawrence commented on the song during an interview with American Songwriter:
When we were coming up with that song, we had this image of a slow-mo video in Vegas of a couple running, and she’s in her… Read More
It's a beautiful night, we're lookin' for somethin' dumb to do
Hey, baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice?
Who cares, baby? I think I wanna marry you
Well, I know this little chapel on the boulevard, we can go
No one will know, oh, come on, girl
Who cares if we're trashed? Got a pocket full of cash we can blow
Shots of Patrón and it's on, girl
Don't say no, no, no, no, no
Just say yeah, yeah, yeah, yeah, yeah
And we'll go, go, go, go, go
If you're ready, like I'm ready
'Cause it's a beautiful night, we're lookin' for somethin' dumb to do
Hey, baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice?
Who cares, baby? I think I wanna marry you
Oh
I'll go get a ring, let the choir bells sing like, ""Ooh""
So what you wanna do? Let's just run, girl
If we wake up and you wanna break up, that's cool
No, I won't blame you, it was fun, girl
Don't say no, no, no, no, no
Just say yeah, yeah, yeah, yeah, yeah
And we'll go, go, go, go, go
If you're ready, like I'm ready
'Cause it's a beautiful night, we're lookin' for somethin' dumb to do
Hey, baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice?
Who cares, baby? I think I wanna marry you
Just say, ""I do""
Tell me right now, baby, tell me right now, baby, baby
Just say, ""I do""
Tell me right now, baby, tell me right now, baby, baby, oh
It's a beautiful night, we're lookin' for somethin' dumb to do
Hey, baby, I think I wanna marry you
Is it the look in your eyes, or is it this dancing juice?
Who cares, baby? I think I wanna marry you",pop,Bruno Mars_Marry_You.txt
